,budget,genres,popularity,production_companies,revenue,runtime,cast,crew,vote_count,vote weight,vote_average
0,237000000.0,24.355775251346753,150.437577,25.439213162061634,2787965087.0,162.0,576.9681364468863,68.96729166666667,11800.0,84960.0,7.2
1,300000000.0,18.284440459224214,139.082615,19.56891891891892,961000000.0,169.0,225.4517954199223,77.08188272165376,4500.0,31050.0,6.9
2,245000000.0,18.516796112690074,107.376788,18.842346938775513,880674609.0,148.0,528.1182306709896,159.06686119436125,4466.0,28135.8,6.3
3,250000000.0,24.92859360449928,112.31295,26.665104556776814,1084939099.0,165.0,1129.0559186557437,205.72635780885778,9106.0,69205.59999999999,7.6
4,260000000.0,18.276385938369653,43.926995,6.318918918918921,284139100.0,132.0,166.6370538444623,127.63100233100229,2124.0,12956.4,6.1
5,258000000.0,18.284440459224214,115.699814,18.457346938775512,890871626.0,139.0,867.909557068523,154.92689532689533,3576.0,21098.4,5.9
6,260000000.0,12.338670030213251,48.681969,13.181418918918922,591794936.0,100.0,85.52915794731585,191.94601449275368,3330.0,24642.0,7.4
7,280000000.0,18.276385938369653,134.27922900000002,20.815384615384612,1405403694.0,141.0,502.28819260956,110.55658508158507,6767.0,49399.1,7.3
8,250000000.0,18.276228539784213,98.885637,13.565732899022803,933959197.0,153.0,349.05533756748906,48.34202380952381,5293.0,39168.200000000004,7.4
9,250000000.0,18.284440459224214,155.790452,37.26244618573609,873260194.0,151.0,895.1465034542421,129.81402777777777,7004.0,39922.8,5.7
10,270000000.0,24.355775251346753,57.925623,25.997942552114807,391081192.0,154.0,105.26014641943738,73.6456349206349,1400.0,7560.000000000001,5.4
11,200000000.0,24.63223109865827,107.928811,6.284210526315789,586090727.0,106.0,201.58046325322184,44.57168803418803,2965.0,18086.5,6.1
12,200000000.0,18.284440459224214,145.84737900000005,19.56891891891892,1065659812.0,151.0,223.13512875325569,58.3520104697227,5246.0,36722.0,7.0
13,255000000.0,18.61338447958045,49.046956,36.54391891891892,89289910.0,149.0,364.3963594738593,75.96776804548027,2311.0,13634.900000000001,5.9
14,225000000.0,24.355775251346753,99.398009,33.207961699633955,662845518.0,143.0,205.93138565537274,83.61116702741701,6359.0,41333.5,6.5
15,225000000.0,18.276228539784213,53.978602,44.07380952380952,419651413.0,150.0,135.1634795692113,128.14135975135974,1630.0,10269.0,6.3
16,220000000.0,18.276385938369653,144.448633,13.236139332365747,1519557910.0,143.0,815.2725077402929,134.58513904224432,11776.0,87142.40000000001,7.4
17,380000000.0,18.284440459224214,135.413856,18.668918918918923,1045713802.0,136.0,226.0596878521524,50.517427136389365,4948.0,31667.2,6.4
18,225000000.0,18.07047071808878,52.035179,31.172108843537412,624026776.0,106.0,113.50944822903448,38.86675213675214,4160.0,25792.0,6.2
19,250000000.0,18.284440459224214,120.965743,33.03585227272727,956019788.0,144.0,290.1588710454797,98.88892857142856,4760.0,33796.0,7.1
20,215000000.0,18.284440459224214,89.866276,18.669846938775514,752215857.0,136.0,364.72231127804656,58.10421855921855,6586.0,42809.0,6.5
21,200000000.0,12.205051146247115,37.668301,25.10132837750485,310669540.0,140.0,217.61516924332585,39.48331081081081,1398.0,8667.6,6.2
22,250000000.0,12.243037961625754,94.370564,25.935852272727267,958400000.0,161.0,222.45744247405105,148.40825396825394,4524.0,34382.4,7.6
23,180000000.0,12.243037961625754,42.990906,24.26127314814815,372234864.0,113.0,179.21574233042503,81.95775641025642,1303.0,7557.4,5.8
24,207000000.0,18.66506230073678,61.22601,26.634265734265732,550000000.0,187.0,215.29975060709393,76.25892857142857,2337.0,15424.199999999999,6.6
25,200000000.0,18.796145441157172,100.025899,19.668316906035855,1845034188.0,194.0,984.8373469308469,142.3372916666667,7562.0,56715.0,7.5
26,250000000.0,18.276385938369653,198.372395,34.30153846153846,1153304495.0,147.0,692.8587691715231,140.06491841491842,7241.0,51411.1,7.1
27,209000000.0,24.39182092433785,64.928382,24.397252747252747,303025485.0,131.0,270.47236304684475,95.04473684210527,2114.0,11627.0,5.5
28,150000000.0,24.39182092433785,418.708552,31.944867947178867,1513528810.0,124.0,177.9185955831608,130.528125,8662.0,56303.0,6.5
29,200000000.0,18.32048613221531,93.004993,6.142346938775513,1108561013.0,143.0,162.75716839992705,44.59346833721833,7604.0,52467.600000000006,6.9
30,200000000.0,18.284440459224214,35.149586,18.457346938775512,783766341.0,127.0,489.0309407814297,121.34845376845378,4321.0,28950.7,6.7
31,200000000.0,18.276385938369653,77.68208,7.015384615384614,1215439994.0,130.0,709.3582124767336,87.35264568764568,8806.0,59880.799999999996,6.8
32,200000000.0,18.276228539784213,78.530105,31.223283998284,1025491110.0,108.0,227.01234494973633,83.05350854700855,4645.0,29728.0,6.4
33,210000000.0,24.39182092433785,3.857526,68.67302268587115,459359555.0,104.0,201.34326721970717,100.41150552663709,3525.0,22207.5,6.3
34,200000000.0,12.338670030213251,89.186492,13.543918918918921,743559607.0,104.0,156.97543743560723,57.80851449275363,3528.0,24696.0,7.0
35,150000000.0,18.276385938369653,21.939663,43.74346490565353,836297228.0,150.0,231.97378294555904,100.5335851966924,3138.0,18828.0,6.0
36,210000000.0,18.276385938369653,116.840296,49.49473072843834,1091405097.0,165.0,245.9788808097478,124.00881395486235,3095.0,17951.0,5.8
37,200000000.0,18.276228539784213,46.985445,12.474474474474476,491868548.0,130.0,930.7242081529594,49.3132264957265,3530.0,20121.0,5.7
38,200000000.0,18.284440459224214,89.270217,25.217346938775513,705717432.0,142.0,420.81999441467417,65.62698412698413,4179.0,27163.5,6.5
