,Unnamed: 0,budget,popularity,encoded_rate,new spoken_languages,new cast,new production_companies,new production_countries,new crew,new genres,new keywords,revenue,runtime,vote_count
1604,1604,30000000,33.394082,1,1,0,2,2,13908.907435494524,2,2,75505973,113.0,767
1605,1605,30000000,73.987775,1,2,2,1,1,19010.01190476191,2,0,66486080,95.0,2263
1606,1606,30000000,10.608998,1,1,0,2,1,3434.416666666667,1,4,84646831,84.0,359
1607,1607,30000000,12.821329,2,2,2,1,1,3509.4768907563025,3,0,38413606,126.0,238
1608,1608,27000000,30.131498,1,1,1,0,1,4427.335897435897,2,3,38122105,101.0,703
1609,1609,25000000,12.113235,2,1,1,0,1,3440.6083333333336,3,2,38748395,94.0,384
1610,1610,30000000,31.191975,1,6,2,1,3,8991.058333333332,3,4,63782078,111.0,1263
1611,1611,30000000,11.916389,1,1,0,1,1,1320.75,3,3,51376861,95.0,221
1612,1612,30000000,20.355458,1,1,2,1,1,11034.259615384617,3,2,36160375,98.0,359
1613,1613,30000000,63.848541,1,1,2,2,1,7416.033801874163,2,9,82394288,100.0,1463
1614,1614,30000000,8.999675,2,1,1,1,1,4225.172690763053,1,2,34742066,108.0,162
1615,1615,30000000,9.278361,1,1,1,1,1,3596.1434837092734,4,3,41480851,125.0,206
1616,1616,45000000,7.185212,1,1,4,1,1,167.75,2,0,0,94.0,66
1617,1617,30000000,55.806402,2,1,2,2,1,14962.613708513707,5,4,48428063,79.0,1262
1618,1618,30000000,48.237797,1,2,2,3,1,10270.808424908426,3,2,63372757,106.0,1323
1619,1619,0,17.943945000000006,1,3,0,4,2,8232.812343130725,2,4,0,111.0,278
1620,1620,30000000,19.143721,2,1,0,1,1,28118.08095238095,2,2,14460000,63.0,258
1621,1621,19000000,15.67747,1,1,2,1,1,3670.169696969697,1,1,39267515,85.0,210
1622,1622,30000000,4.523630000000002,1,1,2,1,1,9869.528520821284,2,0,29202884,108.0,66
1623,1623,0,13.064264,1,1,4,0,1,9999.850466200465,2,1,31911598,139.0,158
1624,1624,0,2.644427,1,1,1,1,1,169.66666666666666,2,0,0,127.0,27
1625,1625,30000000,5.301589,1,1,2,1,1,1554.0919540229884,4,1,24048000,106.0,163
1626,1626,0,20.252143,1,1,1,2,1,6321.354293854294,6,1,60896147,95.0,442
1627,1627,30000000,29.359201,1,1,0,3,1,6745.013090229078,3,1,0,118.0,690
1628,1628,30000000,20.063165,1,1,0,2,2,2015.0,2,0,108609310,108.0,339
1629,1629,35000000,6.246199,1,1,1,1,1,2759.3357142857144,3,0,22034832,111.0,112
1630,1630,30000000,27.71063,1,1,0,4,1,2857.4602564102565,1,5,53909751,124.0,457
1631,1631,30000000,2.850896,1,1,0,1,1,7452.449533799532,2,2,21800302,104.0,66
1632,1632,30000000,34.421696000000004,2,1,3,1,2,6834.013736263735,4,0,51148651,133.0,905
1633,1633,30000000,15.89534,1,2,1,1,1,14648.192490842492,3,4,31070211,87.0,458
1634,1634,30000000,18.706504,1,3,2,0,2,16045.087798596314,1,6,35294470,109.0,311
1635,1635,30000000,9.607391,1,3,1,1,1,4773.74393939394,4,4,19204929,87.0,127
1636,1636,25000000,2.77255,1,1,2,1,1,47.0,3,1,17193231,98.0,47
1637,1637,0,17.834976,1,1,1,4,2,18585.081593406594,4,0,0,99.0,295
1638,1638,30000000,20.236951,2,1,3,4,1,1002.1428571428571,3,3,102820008,112.0,1233
1639,1639,30000000,16.883429,1,1,0,1,1,6321.1436507936505,3,2,16930884,108.0,313
1640,1640,35000000,12.779201,2,1,4,2,1,7160.329534313725,1,5,25224242,126.0,125
1641,1641,40000000,14.729385999999998,1,3,1,1,1,12345.765476190476,3,1,26155781,98.0,278
1642,1642,26000000,23.227877,1,1,0,1,3,8203.466666666667,3,0,0,104.0,671
1643,1643,37000000,11.374306,1,2,0,2,1,4109.0,3,0,37962774,110.0,221
1644,1644,30000000,10.703602,1,1,3,1,2,9427.173826173826,3,1,31148328,130.0,240
1645,1645,30000000,10.756266,1,2,0,2,2,10521.707071538856,4,1,15007991,97.0,202
1646,1646,30000000,4.352422,1,2,1,3,1,3488.9868421052633,2,5,15368897,96.0,68
1647,1647,30000000,9.301562,2,1,0,3,1,14012.81093032375,4,1,13001257,114.0,157
1648,1648,17000000,18.27083,1,1,1,1,2,4569.530423280424,2,2,24922237,106.0,603
1649,1649,30000000,19.106154,1,1,3,1,1,10630.709126984128,3,0,30536013,135.0,330
1650,1650,30000000,5.259585,1,1,0,0,2,1558.7555555555555,2,2,0,100.0,72
1651,1651,0,3.226243,1,1,1,2,1,4192.8845029239765,2,5,0,100.0,44
1652,1652,100000000,21.677732,0,3,0,5,1,1149.2142857142858,5,3,0,85.0,462
1653,1653,30000000,43.882857,1,1,4,1,1,6057.081007751938,3,6,0,107.0,1266
